Corrected Common Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total Caught,Total Seasons,,Corrected Common Name,Total Caught
alewife,0,0,0,0,0,0,2,9,0,6,0,17,3,,Total Caught Per Year,8060
american eel,0,0,0,0,2,3,0,0,1,1,0,7,4,,comb jelly,2565
american shad,0,0,0,0,0,0,0,0,0,1,0,1,1,,atlantic silverside,2360
amphipod,0,0,3,2,0,0,0,0,40,0,0,45,3,,striped bass,211
anemone,0,0,2,0,0,0,0,0,0,0,0,2,1,,asian shore crab,200
asian shore crab,0,0,4,0,8,13,12,43,50,40,30,200,8,,bay anchovy,197
atlantic herring,0,0,0,0,0,0,0,4,0,0,0,4,1,,sea squirt,197
atlantic menhaden,0,0,0,0,0,0,1,5,70,3,53,132,5,,mud snail,181
atlantic silverside,1,1,13,255,180,74,42,1030,250,37,477,2360,11,,unidentified shrimp,171
atlantic tomcod,0,0,1,7,34,0,2,0,3,1,10,58,7,,moon jelly,154
bay anchovy,1,1,0,150,23,1,0,0,16,1,4,197,8,,atlantic menhaden,132
black fingered mud crab,0,0,0,0,0,0,0,0,2,0,0,2,1,,blue crab,125
black sea bass,0,0,0,0,0,1,0,0,21,1,0,23,3,,shore shrimp,125
blue crab,1,1,10,32,12,4,4,7,16,22,16,125,11,,blueback herring,117
blue mussel,0,0,1,0,1,0,0,9,2,0,10,23,5,,unidentified snail,105
blueback herring,0,0,0,0,2,1,0,0,0,114,0,117,3,,unidentified herring,101
bluefish,0,0,6,2,3,37,1,5,0,1,11,66,8,,sand shrimp,95
bluespotted cornetfish,0,0,0,0,0,0,0,1,0,0,0,1,1,,eastern oyster,90
box crab,0,0,0,0,0,0,0,4,0,0,0,4,1,,bluefish,66
clam,0,0,0,0,0,0,0,0,1,8,1,10,3,,porgy,62
clam worm probably nereis spp,0,0,1,0,0,0,0,0,0,0,0,1,1,,atlantic tomcod,58
colonial tunicate,0,0,0,0,0,0,0,11,0,0,0,11,1,,northern pipefish,55
comb jelly,1,1,14,393,170,485,86,58,887,347,123,2565,11,,amphipod,45
ctenophore,0,0,0,0,0,20,0,0,0,0,0,20,1,,tunicate,44
cunner,0,0,0,0,1,0,0,1,6,2,0,10,4,,winter flounder,38
eastern oyster,0,0,0,17,0,0,0,0,30,43,0,90,3,,golden star tunicate,33
glass shrimp,0,0,0,0,0,0,0,3,3,0,0,6,2,,seven spine shrimp,32
golden star tunicate,0,0,0,1,0,1,0,1,30,0,0,33,4,,unidentified hermit crab,31
grass shrimp shore shrimp,0,0,0,0,0,0,0,0,0,1,0,1,1,,green crab,30
green crab,0,1,1,7,8,0,1,0,10,0,2,30,7,,long clawed hermit crab,28
grubby,0,0,0,0,0,0,1,0,0,0,0,1,1,,oyster drill snail,27
hogchoker,0,0,0,1,0,0,0,0,0,0,0,1,1,,blue mussel,23
horseshoe crab,0,0,0,0,0,0,0,0,0,0,2,2,1,,black sea bass,23
hydrozoa,0,1,3,5,0,0,0,4,0,0,0,13,4,,periwinkle,21
isopod,0,0,0,1,0,0,0,1,0,0,0,2,2,,ctenophore,20
jelly fish,0,0,3,0,0,1,2,0,0,0,0,6,3,,unidentified flatfish,20
lady crab,1,0,1,0,0,0,0,4,3,2,0,11,5,,tautog,17
lions mane jellyfish,1,1,2,0,0,0,0,0,0,0,0,4,3,,alewife,17
long clawed hermit crab,0,0,0,0,0,0,0,0,0,0,28,28,1,,hydrozoa,13
mantis shrimp,1,0,0,0,0,0,0,0,0,0,0,1,1,,oyster toadfish,12
mole crab,0,0,0,0,0,0,0,0,1,0,0,1,1,,silver perch,12
moon jelly,0,0,0,83,1,25,0,0,3,22,20,154,6,,mussel,11
mud crab,0,0,0,0,0,2,0,0,2,4,0,8,3,,lady crab,11
mud snail,0,0,0,0,0,0,0,0,111,32,38,181,3,,colonial tunicate,11
mullet fish,0,0,0,0,0,0,0,0,1,0,0,1,1,,clam,10
mussel,0,0,0,0,0,0,0,0,10,1,0,11,2,,cunner,10
naked goby,0,0,0,1,0,0,0,0,1,0,0,2,2,,sandworm,9
needlefish,0,0,0,0,0,0,0,0,0,0,0,0,0,,northern kingfish,8
northern kingfish,1,0,1,1,0,0,1,0,3,1,0,8,6,,mud crab,8
northern pipefish,1,2,10,5,5,1,1,6,7,4,13,55,11,,american eel,7
northern puffer,0,0,4,0,1,0,0,0,0,0,0,5,2,,jelly fish,6
northern sea robin,0,0,1,0,0,0,0,0,1,0,0,2,2,,glass shrimp,6
northern seahorse,0,1,0,0,0,0,1,1,0,0,0,3,3,,skilletfish,6
northern stargazer,0,0,0,0,1,0,0,0,0,0,0,1,1,,spotted hake,6
oyster drill snail,0,0,0,0,0,1,0,1,1,24,0,27,4,,white perch,6
oyster toadfish,1,0,2,2,2,1,1,0,2,1,0,12,8,,northern puffer,5
periwinkle,0,0,0,0,0,0,0,0,0,0,21,21,1,,scud,4
pin fish,0,0,0,0,0,0,0,2,0,0,0,2,1,,summer flounder,4
pollock,0,0,0,0,0,0,0,0,0,0,1,1,1,,box crab,4
polychaete worm,0,0,0,0,0,0,0,0,0,0,0,0,0,,lions mane jellyfish,4
porgy,0,0,0,0,3,0,3,37,13,0,6,62,5,,atlantic herring,4
red beard sponge,0,0,1,0,0,0,0,0,1,0,0,2,2,,unidentified mussel,3
ribbed mussel,0,0,0,0,1,0,0,0,0,0,2,3,2,,ribbed mussel,3
sand shrimp,1,1,8,0,0,0,5,14,1,48,17,95,8,,northern seahorse,3
sand worm,0,0,0,1,0,0,0,0,0,0,0,1,1,,spider crab,3
